DESNAN,CIIUR3,TNT,DESACT,CODACT,NANDINA,PUREZA,MINERAL,UNIDAD,MINERAL RES,TIPO_MINERAL,REFINADOS,INE,RESUMEN,ANIO
"MINERALES DE HIERRO Y SUS CONCENTRADOS,AGLOMERADOS,EXCEPTO LAS PIRITAS DE HIERRO TOSTADAS (CENIZAS DE PIRITAS)",1310,30,Mineral de Hierro,C17,2601120000,C,HIERRO,,HIERRO,NO METALICO,,,HIERRO,2012
"MINERAL DE MANGANESO Y SUS CONCENTRADOS,INCLUIDOS LOS MINERALES DE MANGANESO FERRUGINOSOS Y SUS CONCENTRADOS CON UN CONT.DE MANGANESO,SUP.O IGUAL AL 20% EN PESO,SOBRE PRODUCTO SECO",1320,30,Mineral Manganeso,C16,2602000000,C,MANGANESO,K.N.,OTROS ,NO METALICO,,,MANGANESO,2018-2019
MANGANESO EN BRUTO;POLVO,2720,30,Otros Minerales,C10,8111001100,M,MANGANESO,K.N.,MANGANESO,NO METALICO,,,MANGANESO,2010
"MARMOL Y TRAVERTINOS SIMPLEMENTE TROCEADOS,POR ASERRADO O DE OTRO MODO,EN BLOQUES O EN PLACAS CUADRADAS O RECTANGULARES",1410,30,Otras Minas y Canteras,C11,2515120000,C,MARMOL,,MARMOL,NO METALICO,,,OTROS,2010
MARMOL Y TRAVERTINOS EN BRUTO O DESBASTADOS,1410,30,,C10,2515110000,C,MARMOL,,OTROS,NO METALICO,,,OTROS,2011
MINERALES DE ORO Y SUS CONCENTRADOS,1320,7,Mineral de Oro,C8,2616901000,C,ORO,,ORO,CONCENTRADO,,ORO,ORO,2018-2019
LOS DEMAS MINERALES DE LOS METALES PRECIOSOS Y SUS CONCENTRADOS,1320,30,,C10,2616909000,C,ORO,,ORO,CONCENTRADO,,ORO,ORO,2011
LAS DEMAS FORMAS EN BRUTO DE ORO,2720,7,Oro Metálico,D22,7108120000,M,ORO METALICO,,ORO,METALICOS,ORO,ORO METALICO,ORO,2018-2019
"DESPERDICIOS Y DESECHOS, DE METAL PRECIOSO O DE CHAPADO DE METAL PRECIOSO, DE ORO O DE CHAPADO (PLAQUE) DE ORO, EXCEPTO LAS BARREDURAS QUE CONTENGAN OTRO METAL PRECIOSO",2720,7,,D34,7112910000,M,ORO METALICO,,ORO METALICO,METALICOS,,,OTROS,2011
LAS DEMAS MATERIAS MINERALES NO EXPRESADAS NI COMPRENDIDAS EN OTRAS PARTIDAS,1421,30,Otras Minas y Canteras,C11,2530900000,C,PUZOLANA,,OTROS,NO METALICO,,,OTROS,2018-2019
"CANTOS,GRAVA,PIEDRAS MACHACADAS,DE LOS TIPOS GENERALMENTE UTILIZADOS PARA HORMIGON O PARA FIRMES DE CARRETERAS,VIAS FERREAS U OTROS BALASTOS,GUIJARROS Y PEDERNAL,INCLUSO TRATADOS TERMICAMENTE",1410,30,Piedras de Cantera,C18,2517100000,C,OTROS,,OTROS,NO METALICO,,,OTROS,2018-2019
ARENAS SILICEAS Y ARENAS CUARZOSAS,1410,30,Otras Minas y Canteras,C11,2505100000,C ,OTROS,,OTROS,NO METALICO,,,OTROS,2018-2019
"DESPERDICIOS Y DESECHOS, DE HIERRO O ACERO ESTAÑADOS",3710,30,Otros Metales Manufacturados,D24,7204300000,C,OTROS,,OTROS DESPERDICIOS,NO METALICO,,,OTROS,2018-2019
"LOS DEMAS,ALAMBRE DE COBRE REFINADO",2720,34,Otros Metales Manufacturados,D24,7408190000,C,OTROS,,DESPERDICIOS Y DESECHOS DE COBRE,NO METALICO,,,OTROS,2018-2019
"LOS DEMAS DESPERDICIOS Y DESECHOS, DE METAL PRECIOSO O DE CHAPADO DE METAL PRECIOSO",2720,30,Otros Metales Manufacturados,D24,7112990000,C,OTROS,,OTROS DESPERDICIOS,NO METALICO,,,OTROS,2018-2019
MINERALES DE CROMO Y SUS CONCENTRADOS,1320,30,Otros Minerales,C10,2610000000,C,OTROS,,OTROS,NO METALICO,,,OTROS,2018-2019
"DESPERDICIOS Y DESECHOS, DE METAL PRECIOSO O DE CHAPADO DE METAL PRECIOSO DE PLATINO O DE CHAPADO (PLAQUE) DE PLATINO, EXCEPTO LAS BARREDURAS QUE CONTENGAN OTRO METAL PRECIOSO",2720,34,Otros Metales Manufacturados,D24,7112920000,C,OTROS,,OTROS DESPERDICIOS,NO METALICO,,,OTROS,2018-2019
DESPERDICIOS Y DESECHOS DE COBRE,3710,34,Otros Metales Manufacturados,D24,7404000000,C,OTROS,,DESPERDICIOS Y DESECHOS DE COBRE,NO METALICO,,,OTROS,2018-2019
"LAS DEMAS ESCORIAS Y CENIZAS, INCLUIDAS LAS CENIZAS DE ALGAS",1429,30,Otras Minas y Canteras,C11,2621900000,C,OTROS,,ESCORIAS Y CENIZAS,NO METALICO,,,OTROS,2018-2019
LOS DEMAS COMPUESTOS; AMALGAMAS DE METAL PRECIOSO,2411,34,Desechos y Amalgamas de Metal Precioso,D34,2843900000,C,OTROS,,OTROS,NO METALICO,,,OTROS,2018-2019
"LAS DEMAS PIEDRAS DE TALLA O CONSTRUCCION INCLUSO DEVASTADAS O SIMPLEMENTE TROCEADAS POR ASERRADO O DE OTRO MODO,EN BLOQUES O EN PLACAS CUADRADAS O RECTANGULARES",1410,30,Piedras de Cantera,C18,2516900000,C,OTROS,,OTROS,NO METALICO,,,OTROS,2018-2019
"LOS DEMAS METALES,GALIO,HAFNIO (CELTIO),INDIO,NIOBIO (COLOMBIO),RENIO Y TALIO;Y SUS MANUFACTURAS DE ESTOS METALES INCLUIDOS LOS DESPERDICIOS Y DESECHOS",2720,30,Otros Metales Manufacturados,D24,8112990000,M,OTROS,,OTROS,NO METALICO,,,OTROS,2010
"LOS DEMAS CENIZAS Y RESIDUOS (EXCEPTO LOS DE LA SIDERURGIA) QUE CONTENGAN ARSENICO, METAL O COMPUESTOS METALICOS",3710,30,Otros Metales Manufacturados,D24,2620990000,C,OTROS,,OTROS,NO METALICO,,,OTROS,2010
CENIZAS QUE CONTENGAN METAL PRECIOSO O COMPUESTOS DE METAL PRECIOSO,2720,30,Otros Metales Manufacturados,D24,7112300000,M,OTROS,,OTROS,NO METALICO,,,OTROS,2010
"DESPERDICIOS Y DESECHOS,DE ESTAÐO",3720,2,Estaño Metálico,D17,8002000000,M,OTROS,,"DESPERDICIOS Y DESECHOS,DE ESTAÑO",NO METALICO,,,OTROS,2010
